Protei,ProteinB,co_expression
Os01g0201700,Os03g0752800,0.4727
Os02g0579600,Os03g0752800,-0.3462
Os06g0712700,Os03g0752800,0.6159
Os03g0186600,Os03g0752800,-0.3968
Os08g0378900,Os03g0602600,0.7072
Os05g0489700,Os07g0602900,-0.1136
Os06g0106000,Os12g0498400,0.4983
Os10g0580300,Os08g0421100,-0.1501
Os03g0137800,Os08g0421100,-0.2489
Os01g0897000,Os08g0421100,-0.2802
Os03g0118400,Os08g0421100,-0.0531
Os08g0538700,Os08g0421100,-0.1835
Os03g0786800,Os04g0654700,0.6136
Os12g0560700,Os04g0443300,0.1449
Os03g0607600,Os04g0443300,0.1277
Os02g0579600,Os08g0112700,0.2673
Os03g0754900,Os11g0176100,0.367
Os03g0725050,Os11g0176100,0.2054
Os06g0154500,Os12g0174800,0.0687
Os02g0643600,Os08g0103900,0.1282
Os01g0788500,Os01g0874700,0.1764
Os01g0151200,Os02g0117100,0.9164
Os04g0459000,Os06g0232300,0.5932
Os08g0564300,Os06g0232300,0.4517
Os12g0614600,Os06g0232300,0.5827
Os11g0146700,Os01g0322800,0.6094
Os02g0122400,Os09g0555600,0.5988
Os04g0675800,Os09g0555600,0.048
Os05g0491100,Os03g0198300,-0.1767
Os08g0479400,Os11g0243300,0.4656
Os09g0414600,Os11g0243300,0.0909
Os02g0771100,Os04g0540200,0.1033
Os03g0809700,Os06g0717200,-0.0849
Os02g0265400,Os03g0801600,0.606
Os05g0455500,Os06g0726800,0.5275
Os03g0118400,Os08g0512600,0.3158
Os01g0369000,Os05g0425700,0.0865
Os05g0491100,Os01g0879600,0.0967
Os07g0687200,Os01g0879600,0.0042
Os03g0319300,Os01g0879600,-0.0404
Os01g0267900,Os01g0879600,0.0622
Os01g0264900,Os02g0759800,0.4981
Os02g0682200,Os06g0223300,0.2762
Os02g0771100,Os06g0152200,-0.1019
Os01g0972900,Os03g0236900,0.5785
Os02g0700100,Os03g0236900,0.5861
Os03g0123300,Os03g0236900,0.0118
Os02g0656300,Os03g0236900,0.6043
Os06g0606000,Os06g0662000,0.1889
Os03g0118400,Os06g0662000,-0.2792
Os01g0355900,Os02g0741400,0.2322
Os08g0292900,Os01g0592800,0.1182
Os05g0491100,Os01g0771000,-0.1091
Os07g0687200,Os01g0771000,-0.0995
Os03g0319300,Os01g0771000,0.1332
Os01g0267900,Os01g0771000,-0.1022
Os12g0588800,Os12g0502300,0.7383
Os05g0592400,Os08g0176800,0.74
Os07g0693500,Os11g0610700,-0.4252
Os11g0456300,Os08g0428100,-0.0776
Os01g0369000,Os08g0428100,-0.114
Os03g0313300,Os09g0397900,0.0885
Os06g0677700,Os09g0397900,0.4026
Os02g0478600,Os03g0717700,-0.0899
Os01g0363300,Os03g0717700,0.035
Os02g0171100,Os03g0717700,0.3642
Os01g0923700,Os03g0717700,0.176
Os02g0734900,Os10g0114400,0.0874
Os11g0703900,Os10g0114400,-0.1251
Os03g0165400,Os10g0114400,0.1703
Os10g0396400,Os10g0114400,-0.2962
Os05g0489600,Os10g0114400,-0.198
Os01g0813400,Os10g0114400,-0.2277
Os07g0529000,Os10g0114400,0.0119
Os06g0148200,Os10g0114400,-0.2192
Os01g0183100,Os10g0114400,0.2038
Os07g0694300,Os10g0114400,0.1782
Os04g0560400,Os10g0114400,0.3159
Os08g0502700,Os10g0114400,-0.3501
Os03g0826900,Os10g0114400,0.1084
Os07g0632800,Os10g0114400,0.2088
Os12g0576700,Os10g0114400,0.1806
Os06g0681600,Os10g0114400,0.2435
Os10g0577800,Os12g0641100,0.3615
Os10g0577800,Os09g0555700,0.1734
Os11g0456300,Os12g0131400,-0.3034
Os01g0369000,Os02g0167700,0.0962
Os04g0304200,Os01g0264600,-0.5112
Os06g0217500,Os03g0423800,0.6462
Os05g0235800,Os10g0573900,-0.0554
Os02g0535400,Os09g0474300,0.0133
Os11g0456300,Os06g0308100,0.5322
Os01g0972900,Os04g0484800,0.548
Os02g0700100,Os04g0484800,0.5296
Os02g0656300,Os04g0484800,0.6484
Os03g0302700,Os04g0484800,0.0337
Os04g0223000,Os04g0382700,0.6379
Os01g0666800,Os04g0382700,0.3121
Os08g0526200,Os08g0566600,0.8786
Os08g0104600,Os08g0566600,0.8587
Os02g0146700,Os03g0180400,0.7726
Os02g0633400,Os02g0776800,0.481
Os03g0448600,Os11g0176200,0.4238
Os01g0166800,Os02g0797400,0.7757
Os02g0612300,Os03g0347200,0.7367
Os12g0178700,Os01g0920400,0.0909
Os09g0442300,Os10g0346600,0.1386
Os07g0172500,Os09g0110400,0.5781
Os01g0235200,Os09g0110400,-0.1328
Os09g0474300,Os06g0216800,-0.3358
Os02g0122400,Os07g0123300,0.5124
Os01g0166800,Os01g0544450,0.7594
Os03g0240500,Os10g0548800,0.326
Os03g0670700,Os04g0691500,0.037
Os03g0240500,Os09g0513000,0.562
Os03g0254700,Os04g0663600,-0.1943
Os09g0116400,Os10g0495500,0.6007
Os01g0972900,Os05g0579800,0.441
Os04g0484800,Os05g0579800,0.5111
Os03g0131900,Os08g0254500,0.8373
Os03g0821800,Os08g0254500,-0.2802
Os01g0151200,Os08g0254500,0.8027
Os04g0488000,Os02g0126700,0.3131
Os05g0118000,Os03g0309200,-0.052
Os05g0358000,Os03g0309200,0.3955
Os07g0695100,Os03g0309200,0.4354
Os03g0284100,Os03g0309200,0.3372
Os05g0204900,Os03g0309200,0.0338
Os02g0771100,Os03g0309200,0.2405
Os01g0264600,Os03g0309200,-0.4011
Os03g0323800,Os06g0168000,0.736
Os09g0298400,Os09g0363600,0.4894
Os05g0592400,Os09g0363600,0.5638
Os03g0788300,Os09g0386400,0.2975
Os07g0646000,Os09g0386400,0.0199
Os05g0462600,Os09g0386400,-0.0132
Os01g0836400,Os09g0386400,0.4416
Os07g0693500,Os09g0386400,-0.3961
Os05g0176000,Os09g0359800,0.8497
Os10g0114400,Os03g0617900,0.0735
Os02g0700100,Os06g0622500,0.3044
Os01g0972900,Os06g0622500,0.266
Os03g0123300,Os06g0622500,0.0705
Os04g0472700,Os06g0622500,0.3549
Os05g0579800,Os06g0622500,0.286
Os04g0484800,Os06g0622500,0.4917
Os06g0699900,Os07g0691800,0.3907
Os02g0146700,Os07g0691800,0.7187
Os05g0569300,Os06g0348800,-0.0878
Os03g0118400,Os02g0146700,0.0354
Os11g0171500,Os07g0558500,-0.4305
Os05g0333200,Os07g0558500,0.0301
Os05g0133100,Os09g0127800,0.0739
Os07g0495200,Os02g0131300,0.8365
Os11g0456300,Os07g0673700,0.0696
Os06g0217500,Os02g0193900,0.5133
Os02g0682500,Os06g0218100,0.2676
Os04g0185100,Os06g0218100,0.1301
Os03g0137800,Os08g0479300,0.7622
Os01g0897000,Os08g0479300,0.6207
Os03g0118400,Os08g0479300,0.2954
Os08g0538700,Os08g0479300,0.6885
Os02g0682200,Os03g0186600,-0.5489
Os04g0162100,Os06g0275500,0.3688
Os11g0158600,Os03g0732100,0.6302
Os05g0430800,Os02g0633400,0.3887
Os05g0491100,Os06g0655500,-0.2652
Os07g0687200,Os06g0655500,0.0595
Os03g0319300,Os06g0655500,0.0618
Os01g0267900,Os06g0655500,-0.2452
Os07g0472500,Os08g0248900,0.1588
Os01g0369000,Os02g0200900,0.3765
Os03g0725050,Os06g0558700,0.3683
Os06g0694000,Os06g0142600,0.4012
Os07g0571100,Os06g0142600,0.4862
Os01g0949400,Os06g0142600,0.1278
Os02g0771100,Os06g0142600,0.678
Os03g0309200,Os06g0142600,0.4843
Os12g0548300,Os05g0333200,0.1138
Os03g0756400,Os05g0333200,0.0258
Os03g0669200,Os05g0333200,0.4027
Os04g0600800,Os05g0333200,0.1162
Os01g0751300,Os05g0333200,0.1821
Os01g0172400,Os05g0333200,0.2591
Os01g0885200,Os05g0333200,0.26
Os02g0661000,Os07g0608800,-0.2093
Os04g0488000,Os01g0377500,0.4709
Os03g0268600,Os01g0648000,-0.141
Os01g0846300,Os01g0648000,0.0717
Os05g0491100,Os01g0607900,-0.1534
Os07g0687200,Os01g0607900,-0.3477
Os03g0319300,Os01g0607900,-0.3721
Os01g0267900,Os01g0607900,-0.3044
Os01g0369000,Os01g0279200,0.2514
Os02g0146700,Os05g0490800,0.6495
Os01g0965000,Os04g0151800,-0.13
Os02g0200900,Os03g0324200,0.1915
Os01g0897000,Os12g0277500,-0.3401
Os03g0118400,Os12g0277500,-0.3129
Os03g0856400,Os09g0364900,0.29
Os06g0217500,Os09g0443500,0.5012
Os05g0491100,Os10g0480500,0.1483
Os07g0687200,Os10g0480500,0.2398
Os03g0319300,Os10g0480500,0.3263
Os01g0267900,Os10g0480500,0.2041
Os03g0131900,Os01g0151200,0.77
Os01g0958100,Os01g0151200,0.8843
Os03g0821800,Os01g0151200,-0.2093
Os06g0217500,Os12g0194700,0.6099
Os07g0687200,Os12g0597700,0.5156
Os03g0319300,Os12g0597700,0.4897
Os01g0267900,Os12g0597700,0.6333
Os02g0122400,Os04g0185100,0.5722
Os05g0398100,Os04g0185100,0.3569
Os10g0114400,Os11g0284900,-0.0563
Os01g0780800,Os09g0134500,-0.0774
Os02g0196600,Os09g0134500,-0.0542
Os09g0513000,Os01g0971500,0.7976
Os12g0628400,Os01g0971500,0.3778
